title,views,date_time,likes,video_link,description
What they didn't tell you about Falcon 180b (and will it change?),8.5K views,3 months ago,247,https://www.youtube.com/watch?v=giO92FBk33c,"👨‍💻 Sign up for the Full Stack course and use YOUTUBE50 to get 50% off:
https://www.coursesfromnick.com/bundl...
"
I used LLaMA 2 70B to rebuild GPT Banker...and its AMAZING (LLM RAG),97K views,4 months ago,2.4K,https://www.youtube.com/watch?v=SedGB8m2XLM,"👨‍💻 Sign up for the Full Stack course and use YOUTUBE50 to get 50% off:
https://www.coursesfromnick.com/bundl...
"
I tried to break down the Generative AI Stack in 6 minutes (with watsonx),14K views,5 months ago,420,https://www.youtube.com/watch?v=HJl50-GHQr8,"Whaddayasay, fine tuning video next? 
Also, you can try it out here: https://dataplatform.cloud.ibm.com/wx...
"
I used the BEST Open Source LLM to build a GPT WebApp (Falcon-40B Instruct),92K views,6 months ago,1.7K,https://www.youtube.com/watch?v=hMJgdVJWQRU,"Thanks to NordPass Business for sponsoring this video! Grab your 3-month free trial here http://nordpass.com/nicholasnord with code nicholasnord.

👨‍💻 Sign up for the Full Stack course and use YOUTUBE50 to get 50% off:"
I tested a STACK of FREE Large Language Models...here's how it went.,51K views,7 months ago,1.4K,https://www.youtube.com/watch?v=5JpPo-NOq9s,"👨‍💻 Sign up for the Full Stack course and use YOUTUBE50 to get 50% off:
https://www.coursesfromnick.com/bundl...
"
I built a GPT Investment Banker using this 312 PAGE document,172K views,7 months ago,4.3K,https://www.youtube.com/watch?v=u8vQyTzNGVY,"🐍 Get the free Python course
https://go.coursesfromnick.com/python
"
LangChain Crash Course: Build a AutoGPT app in 25 minutes!,383K views,8 months ago,9.4K,https://www.youtube.com/watch?v=MlK6SIjcjE8,"Get the free Python course
https://go.coursesfromnick.com/python
"
ChatGPT vs NeuralSeek: what's better for BUSINESS?,11K views,8 months ago,356,https://www.youtube.com/watch?v=55nZ8rU9lM0,"Get notified of the free Python course on the home page at https://www.coursesfromnick.com

Sign up for the Full Stack course here and use YOUTUBE50 to get 50% off:"
How to Code a Machine Learning Lip Reading App with Python Tensorflow and Streamlit,26K views,10 months ago,886,https://www.youtube.com/watch?v=FMPYShYLg3o,"Get notified of the free Python course on the home page at https://www.coursesfromnick.com

Sign up for the Full Stack course here and use YOUTUBE50 to get 50% off:"
MusicLM is a GAMECHANGER for ML Text to Music Generation,30K views,10 months ago,730,https://www.youtube.com/watch?v=F4WEGvFAwv8,"Get notified of the free Python course on the home page at https://www.coursesfromnick.com

Sign up for the Full Stack course here and use YOUTUBE50 to get 50% off:"
Build a Deep Learning Model that can LIP READ using Python and Tensorflow | Full Tutorial,63K views,11 months ago,1.8K,https://www.youtube.com/watch?v=uKyojQjbx4c,"Building a machine learning model that's able to perform lip reading!

Get notified of the free Python course on the home page at https://www.coursesfromnick.com"
